keys,en,ko
STAT_DESC_stamina,"Stamina for attacks, evades, and counters. Empty Stamina causes Tired.","공격·회피·반격에 쓰는 지구력입니다. 비면 Tired가 됩니다."
STAT_DESC_stamina_regen,Stamina recovered per second. Raised by Stamina.,초당 지구력 회복입니다. 지구력 투자로 오릅니다.
STAT_DESC_focus,Mana for automatic skills. Raised by Focus.,자동 기술에 쓰는 마나입니다. 집중력 투자로 오릅니다.
STAT_DESC_focus_gain,Focus (mana) gain. Raised by Focus.,집중력(마나) 획득입니다. 집중력 투자로 오릅니다.
STAT_DESC_damage,Weapon damage range after attributes and gear.,속성과 장비를 반영한 무기 피해 범위입니다.
STAT_DESC_attack_speed,Increases attack rate. Affixes. Tired removes the bonus.,공격 속도를 올립니다. 접두사. Tired면 보너스가 사라집니다.
STAT_DESC_crit_chance,Chance to deal extra damage on a hit. Affixes.,적중 시 치명타가 날 확률입니다. 접두사.
STAT_DESC_crit_damage,Damage multiplier on a critical hit. Affixes.,치명타 시 피해 배율입니다. 접두사.
STAT_DESC_magic_damage,Extra damage that ignores Defense. Affixes.,방어를 무시하는 추가 피해입니다. 접두사.
STAT_DESC_damage_all,Hits other living enemies. No counter or retaliation.,주 타깃 외 생존 적에게 들어갑니다. 반격·보복 없음.
STAT_DESC_vampirism,Heals a portion of damage dealt. Affixes.,준 피해의 일부로 회복합니다. 접두사.
STAT_DESC_regen_per_sec,Life recovered per second. Affixes.,초당 생명력 회복입니다. 접두사.
STAT_DESC_counter_chance,Chance to strike back when hit or after an evade. Affixes.,피격 또는 회피 후 반격할 확률입니다. 접두사.
STAT_DESC_evasion,Chance to take no damage. Tired halves it. Affixes.,피해를 무효로 할 확률입니다. Tired면 반감. 접두사.
STAT_DESC_magic_hp,Absorbs damage before Life. Refills each fight. Affixes.,생명력보다 먼저 깎입니다. 전투마다 회복. 접두사.
STAT_DESC_retaliation,Deals damage back when hit. Affixes.,피격 시 가시 피해입니다. 접두사.
STAT_DESC_defense,Reduces incoming physical damage. Armor and affixes.,받는 물리 피해를 줄입니다. 갑옷과 접두사.
Poise,Poise,자세
Heat,Heat,화염 저항
Cold,Cold,냉기 저항
Electric,Electric,전기 저항
Plague,Plague,역병 저항
Empty,Empty,비어있음
Select an item,Select an item,아이템을 선택하세요
Scales with: %s,Scales with: %s,관련 능력치: %s
Buy Price %d Gold,Buy Price %d Gold,구매 가격 %d골드
Sell Price %d Gold,Sell Price %d Gold,판매 가격 %d골드
Weight %.1f,Weight %.1f,무게 %.1f
Light,Light,가벼움
Normal,Normal,보통
Heavy,Heavy,무거움
%s (%d%%),%s (%d%%),%s (%d%%)
Level %d,Level %d,레벨 %d
%dH %dM,%dH %dM,%d시간 %d분
ATK,ATK,공격
DEF,DEF,방어
Language,Language,언어
Font,Font,폰트
Sans,Sans,고딕
Serif,Serif,명조
English,English,English
한국어,한국어,한국어
Save Slots,Save Slots,세이브 슬롯
Select Profile,Select Profile,프로필 선택
Back,Back,뒤로
Start Game,Start Game,게임 시작
Quit,Quit,게임 종료
New Game,New Game,새 게임
Delete the selected profile?,Delete the selected profile?,선택한 프로필을 지웁니까?
Continue?,Continue?,계속합니까?
Cannot load this profile,Cannot load this profile,이 프로필을 불러올 수 없습니다
Corrupt,Corrupt,손상됨
Incompatible,Incompatible,호환되지 않음
New,New,새 게임
Save,Save,저장
Load,Load,불러오기
Delete,Delete,삭제
Slot %d: Empty,Slot %d: Empty,슬롯 %d: 비어 있음
Slot %d: Level %d,Slot %d: Level %d,슬롯 %d: 레벨 %d
Slot %d: Corrupt,Slot %d: Corrupt,슬롯 %d: 손상됨
Slot %d: Incompatible,Slot %d: Incompatible,슬롯 %d: 호환되지 않음
New game saved to slot %d,New game saved to slot %d,슬롯 %d에 새 게임 저장됨
Failed to create new game,Failed to create new game,새 게임 생성 실패
Saved to slot %d,Saved to slot %d,슬롯 %d에 저장됨
Save failed,Save failed,저장 실패
Loaded slot %d,Loaded slot %d,슬롯 %d 불러옴
Load failed,Load failed,불러오기 실패
Deleted slot %d,Deleted slot %d,슬롯 %d 삭제됨
Delete failed,Delete failed,삭제 실패
Developer,Developer Tools,개발자 도구
Save Data,Save Data,세이브 데이터
Character,Character,캐릭터
Items,Items,아이템
Equipment,Equipment,장비
DEV_GRANT,Grant,획득
Open Save Folder,Open Save Folder,세이브 폴더 열기
Opened save folder,Opened save folder,세이브 폴더를 열었습니다
Failed to open save folder,Failed to open save folder,세이브 폴더를 열지 못했습니다
DEV_LAYER_META,Meta,메타
DEV_LAYER_RUN,Run,런
DEV_LAYER_ALL,All,모두
DEV_NO_SLOT,No save slot,세이브 슬롯 없음
DEV_NO_RUN,No run data,런 데이터 없음
DEV_SAVED_LAYER,Saved: %s,저장됨: %s
DEV_DELETED_LAYER,Deleted: %s,삭제됨: %s
Force Level Up,Force Level Up,강제 레벨업
Force Level Down,Force Level Down,강제 레벨다운
Level %d  (%d / %d XP),Level %d  (%d / %d XP),레벨 %d  (%d / %d XP)
No character,No character,캐릭터 없음
Already max level,Already max level,이미 최대 레벨입니다
Already min level,Already min level,이미 최소 레벨입니다
Forced level up → %d,Forced level up → %d,강제 레벨업 → %d
Forced level down → %d,Forced level down → %d,강제 레벨다운 → %d
MAX,MAX,MAX
EXP,EXP,경험치
MP,MP,마나
HP,HP,체력
Experience,Experience,경험치
Gold,Gold,골드
Silver,Silver,은화
` / Esc: Close,` / Esc: Close,` / Esc: 닫기
LOCATION_TEST,Test Grounds,시험장
LOCATION_UNKNOWN,Unknown,알 수 없음
LOCATION_DUNGEON,Dungeon,던전
LOCATION_ROOM_START,Entrance,입구
LOCATION_ROOM_BOSS,Boss Chamber,보스 방
LOCATION_VILLAGE,Village,마을
Challenge,Challenge,도전
Region,Region,지역
Length,Length,길이
REGION_CEMETERY,Cemetery,묘지
REGION_GROVE,Grove,숲
REGION_MANSION,Mansion,영지
REGION_BATTLEFIELD,Battlefield,전장
REGION_DESC_CEMETERY,"Bones and ruins. Skeletons and watchers haunt the stones.","뼈와 유적. 해골과 감시자가 돌 사이를 배회합니다."
REGION_DESC_GROVE,"Twisted woods. Ratwolves and spiders stalk the path.","뒤틀린 숲. 랫울프와 거미가 길을 노립니다."
REGION_DESC_MANSION,"A bloodstained estate. Vampires and ghouls hold court.","피 묻은 영지. 뱀파이어와 구울이 군림합니다."
REGION_DESC_BATTLEFIELD,"Scarred ground and wreckage. Ghosts and raiders linger.","상처 난 전장과 잔해. 유령과 약탈자가 남았습니다."
CHALLENGE_SHORT,Short,짧음
CHALLENGE_NORMAL,Normal,보통
CHALLENGE_LONG,Long,긴
CHALLENGE_DESC_SHORT,"8 rooms. A brief delve for buried runes and gems.","방 8개. 파묻힌 룬·보석을 찾는 짧은 수색."
CHALLENGE_DESC_NORMAL,"12 rooms. A standard delve into forgotten ground.","방 12개. 잊힌 땅을 도는 보통 수색."
CHALLENGE_DESC_LONG,"16 rooms. A long, dangerous delve.","방 16개. 길고 위험한 수색."
BOARD_LABEL,Rumors,소문
MAP_NO_DUNGEON,No dungeon loaded,던전이 없습니다
ROOM_TYPE_START,Start,시작
ROOM_TYPE_NORMAL,Room,방
ROOM_TYPE_BOSS,Boss,보스
Dried Fish,Dried Fish,건어물
Gameplay,Gameplay,게임 플레이
Controls,Controls,조작
Display,Display,디스플레이
Audio,Audio,오디오
Exit,Exit,나가기
User Interface,User Interface,사용자 인터페이스
Coming soon,Coming soon,준비 중
Resolution,Resolution,해상도
Display Mode,Display Mode,디스플레이 모드
Windowed,Windowed,창 모드
Fullscreen,Fullscreen,전체 화면
Borderless,Borderless,테두리 없음
VSync,VSync,VSync
Frame Rate,Frame Rate,프레임률
Unlimited,Unlimited,제한 없음
Master,Master,전체
Music,Music,음악
Sound Effects,Sound Effects,음향
Background Audio,Background Audio,백그라운드 오디오
On,On,켜기
Off,Off,끄기
Return to Main Menu,Return to Main Menu,메인 메뉴로 나가기
Exit to Desktop,Exit to Desktop,바탕화면으로 나가기
Are you sure?,Are you sure?,정말 종료하시겠습니까?
Yes,Yes,예
No,No,아니요
SETTINGS_DESC_LANGUAGE,"Choose the language used for menus and UI text.","메뉴와 UI 텍스트에 사용할 언어를 선택합니다."
SETTINGS_DESC_FONT,"Choose the UI font style (sans or serif).","UI 글꼴 스타일(고딕/명조)을 선택합니다."
SETTINGS_DESC_RESOLUTION,"Set the game window resolution. Applies immediately in windowed mode.","게임 창 해상도를 설정합니다. 창 모드에서 즉시 적용됩니다."
SETTINGS_DESC_DISPLAY_MODE,"Switch between windowed, fullscreen, and borderless display.","창 모드, 전체 화면, 테두리 없음 디스플레이를 전환합니다."
SETTINGS_DESC_VSYNC,"Synchronize frame presentation with the display refresh rate to reduce tearing.","화면 주사율에 맞춰 프레임을 표시해 티어링을 줄입니다."
SETTINGS_DESC_FRAME_RATE,"Limit the maximum frames per second, or leave unlimited.","초당 최대 프레임을 제한하거나 제한 없음으로 둡니다."
SETTINGS_DESC_MASTER,"Overall volume for all game audio.","게임 전체 오디오 볼륨입니다."
SETTINGS_DESC_MUSIC,"Volume for music tracks.","배경 음악 볼륨입니다."
SETTINGS_DESC_SFX,"Volume for sound effects.","효과음 볼륨입니다."
SETTINGS_DESC_BACKGROUND,"Keep playing audio when the game window loses focus.","게임 창이 포커스를 잃어도 오디오를 계속 재생합니다."
SETTINGS_DESC_CONTROLS,"Control remapping will be available in a future update.","키 조작 재설정은 추후 업데이트에서 제공됩니다."
SETTINGS_DESC_RETURN_TITLE,"Leave the current session and return to the title screen. Unsaved progress will be lost.","현재 세션을 종료하고 타이틀 화면으로 돌아갑니다. 저장하지 않은 진행은 사라집니다."
SETTINGS_DESC_QUIT_DESKTOP,"Close the game and return to the desktop.","게임을 종료하고 바탕화면으로 나갑니다."
SETTINGS_DESC_EXIT_CONFIRM,"Confirm to proceed, or cancel to stay in settings.","계속하려면 예를, 설정에 남으려면 아니요를 선택하세요."
UI_TEST_HINT_1,Tab/I: Open Stats or Inventory,Tab/I: 스탯 또는 인벤토리 열기
UI_TEST_HINT_2,`: Developer overlay (open save folder),`: 개발자 오버레이 (세이브 폴더 열기)
UI_TEST_HINT_3,HUD: XP / Mana / HP · location · skills & quick slots,HUD: 경험치 / 마나 / 체력 · 위치 · 스킬 및 퀵슬롯
UI_TEST_HINT_4,"Arrows/WASD: Move    Q/E: Switch tabs    1/3: Inventory categories","방향키/WASD: 이동    Q/E: 탭 전환    1/3: 인벤토리 카테고리"
UI_TEST_HINT_5,"Click: Select    Right-click / Double-click: Equip    X: Discard","클릭: 선택    우클릭·더블클릭: 장착    X: 버리기"
UI_TEST_HINT_6,Esc/B: Close popup,Esc/B: 팝업 닫기
COMBAT_RETREAT,Retreat,후퇴
COMBAT_SPEED,Speed %s,배속 %s
LOG_HIT,%s → %s  %d,%s → %s  %d
LOG_SKILL,%s [%s] → %s  %d,%s [%s] → %s  %d
LOG_EVADE,%s evaded,%s 회피
LOG_DEATH,%s defeated,%s 처치
LOG_TIRED,%s exhausted,%s 탈진
LOG_WIN,Victory,승리
LOG_LOSE,Defeat,패배
LOG_RETREAT,Retreated,후퇴
LOG_COMBAT_START,— %s —,— %s —
LOG_CRIT_SUFFIX, (crit), (크리)
LOG_VAMP_SUFFIX, +%d, +%d
LOG_COUNTER_SUFFIX, (counter), (반격)
LOG_RETALIATION_SUFFIX, (retaliation), (보복)
LOOT_GOT,Got %s,%s 획득
LOOT_INVENTORY_FULL,Inventory full — loot skipped,가방이 가득 차 전리품을 받지 못함
Slime,Slime,슬라임
Brute,Brute,브루트
Skeleton,Skeleton,해골
Watcher,Watcher,감시자
Bone Guardian,Bone Guardian,뼈 수호자
Ratwolf,Ratwolf,랫울프
Spider,Spider,거미
Nest Mother,Nest Mother,둥지 어미
Ghoul,Ghoul,구울
Vampire,Vampire,뱀파이어
Vampire Lord,Vampire Lord,뱀파이어 군주
Ghost,Ghost,유령
Goblin,Goblin,고블린
War Specter,War Specter,전쟁 망령
DEV_FORCE_ENCOUNTER,Force Encounter,강제 조우
DEV_FORCE_WIN,Force Win,강제 승리
DEV_FORCE_LOSE,Force Lose,강제 패배
DEV_FORCE_RETREAT,Force Retreat,강제 후퇴
DEV_UNLOCK_ALL_RUNES,Unlock All Runes,모든 룬 해금
DEV_UNLOCK_ALL_GEMS,Unlock All Gems,모든 보석 해금
DEV_UNLOCKED_ALL_RUNES,All rune cards opened,모든 룬 칸 해금
DEV_UNLOCKED_ALL_GEMS,All gem cards opened,모든 보석 칸 해금
DEV_NO_COMBAT,No active combat,활성 전투 없음
DEV_COMBAT_ACTIVE,Combat already active,이미 전투 중
DEV_ENCOUNTER_STARTED,Encounter started,조우 시작
DEV_ENCOUNTER_FAILED,Failed to start encounter,조우 시작 실패
DEV_FORCED_WIN,Forced win,강제 승리
DEV_FORCED_RETREAT,Forced retreat,강제 후퇴
Sockets,Sockets,소켓
SOCKET_EFFECTS,Effects,효과
SOCKET,SOCKET,소켓
UNSOCKET,UNSOCKET,빼기
SOCKETED,SOCKETED,장착
SOCKET_EMPTY,Empty socket,빈 소켓
SOCKET_PICK_MOD,Choose a rune or gem,룬 또는 보석을 고르세요
SOCKET_PICK_SLOT,Choose equipment,장비를 고르세요
Core Gem,Core Gem,핵심 보석
Aux Gem,Aux Gem,보조 보석
Altar,Altar,제단
Register Card,Leave a Name,이름 남기기
REGISTER,SEAL,봉인
No runes or gems to register,No runes or gems to register,등록할 룬·보석이 없습니다
Confirm register rune,"Seal this rune at the altar? You leave its name — it cannot be equipped again.","이 룬을 제단에 봉인하시겠습니까? 이름만 남고 다시 장착할 수 없습니다."
Confirm register gem,"Seal this gem at the altar? You leave its name — it cannot be equipped again.","이 보석을 제단에 봉인하시겠습니까? 이름만 남고 다시 장착할 수 없습니다."
Registered cards,Names left,남긴 이름
Resonance,Resonance,공명
BASE_SKILL_ONLY,Base skill only,기본 기술만
RESONANT,Resonant,공명
COMPLETE,Complete,완성
INACTIVE,Inactive,비활성
ALTAR_LABEL,Altar,제단
Select a rune or gem,Select a rune or gem,룬 또는 보석을 선택하세요
Rune,Rune,룬
Gem,Gem,보석
Registered,Sealed,봉인됨
Not owned,Not owned,보유하지 않음
Select a rune,Select a rune,룬을 선택하세요
Select a gem,Select a gem,보석을 선택하세요
Equipped,Equipped,장착 중
INV_EQUIPPED_TITLE,Equipped,착용 장비
Currently equipped,Currently equipped,현재 장착됨
In storage,In storage,보관 중
Shelf,Shelf,서가
SHELF_LABEL,Bookshelf,서가
SHELF_RUNE,Runes,룬
SHELF_GEM,Gems,보석
SHELF_HINT,"Seal runes and gems you own. Neighbors open for future delves.","보유한 룬·보석을 봉인하세요. 이웃 칸이 열려 다음 수색에 나옵니다."
SHELF_LOCKED,Locked,잠김
SHELF_LOCKED_HINT,"This shelf is not open yet.","아직 열리지 않은 서가입니다."
SHELF_FOG,Unknown rune or gem,알 수 없는 룬·보석
SHELF_EMPTY,Empty place,빈 칸
SMITHY_LABEL,Smithy,대장간
SMITHY_HINT,"Place gear and a rune or gem on the bench, then inject.","장비와 룬·보석을 작업대에 올린 뒤 주입하세요."
SMITHY_INJECT,Inject,주입
Skill,Skill,기술
Mana cost,Mana cost,마나 비용
Type,Type,유형
Leather Cap,Leather Cap,가죽 두건
Watcher's Circlet,Watcher's Circlet,감시자 서클릿
Bone Crown,Bone Crown,뼈 왕관
Traveler's Coat,Traveler's Coat,여행자 코트
Manor Mail,Manor Mail,영지 사슬
Warplate,Warplate,전쟁판금
Hide Greaves,Hide Greaves,가죽 각반
Thorn Chausses,Thorn Chausses,가시 경갑
Silent Treads,Silent Treads,고요한 발
Iron Longsword,Iron Longsword,철 장검
Ashwood Staff,Ashwood Staff,재목 지팡이
Field Pike,Field Pike,전장 파이크
Widow's Needle,Widow's Needle,과부의 바늘
Splintered Buckler,Splintered Buckler,파편 버클러
Ash Codex,Ash Codex,재의 성서
Grave Lantern,Grave Lantern,묘지 랜턴
Moss Ring,Moss Ring,이끼 반지
Bloodseal Ring,Bloodseal Ring,혈문 인장
Warcloud Band,Warcloud Band,전운 고리
Sanctum Ring,Sanctum Ring,성소 반지
Ossuary Band,Ossuary Band,묘혈 고리
Cinder Loop,Cinder Loop,잿빛 가락지
Herb Pouch,Herb Pouch,약초 주머니
Grave Spade,Grave Spade,묘지 삽
War Compass,War Compass,전장 나침반
Pine Torch,Pine Torch,횃불
Manor Keys,Manor Keys,영지 열쇠고리
Survey Line,Survey Line,측량줄
Head Armor,Head Armor,머리 방어구
Chest Armor,Chest Armor,가슴 방어구
Leg Armor,Leg Armor,다리 방어구
One Handed Sword,One Handed Sword,한손 검
Staff,Staff,지팡이
Polearm,Polearm,장병기
Ritual Dagger,Ritual Dagger,의식용 단검
Shield,Shield,방패
Tome,Tome,마법서
Lantern,Lantern,랜턴
Ring,Ring,반지
Tool,Tool,도구
+6% Evasion,+6% Evasion,+6% 회피
+1.5 Retaliation,+1.5 Retaliation,+1.5 보복
+8 Magic HP,+8 Magic HP,+8 마법 체력
+10 Magic HP,+10 Magic HP,+10 마법 체력
+2.5 Retaliation,+2.5 Retaliation,+2.5 보복
+4 Defense,+4 Defense,+4 방어
+1.2 Retaliation,+1.2 Retaliation,+1.2 보복
+8% Evasion,+8% Evasion,+8% 회피
+5% Attack Speed,+5% Attack Speed,+5% 공격 속도
+2 Damage to All,+2 Damage to All,+2 전체 피해
+8% Vampirism,+8% Vampirism,+8% 흡혈
+3 Magic Damage,+3 Magic Damage,+3 마법 피해
+4 Magic Damage,+4 Magic Damage,+4 마법 피해
+0.8 Regen/sec,+0.8 Regen/sec,+0.8 재생/초
+6 Magic HP,+6 Magic HP,+6 마법 체력
+6% Vampirism,+6% Vampirism,+6% 흡혈
+8% Critical Chance,+8% Critical Chance,+8% 치명타 확률
+0.6 Regen/sec,+0.6 Regen/sec,+0.6 재생/초
+12 Magic HP,+12 Magic HP,+12 마법 체력
+5 Magic Damage,+5 Magic Damage,+5 마법 피해
Rune of Flurry,Rune of Flurry,질주의 룬
Rune of the Tide,Rune of the Tide,밀물의 룬
Rune of Hymns,Rune of Hymns,찬가의 룬
Rune of Warding,Rune of Warding,수호의 룬
Rune of Thorns,Rune of Thorns,가시의 룬

Flurry,Flurry,질주
Tide Crash,Tide Crash,밀물 강타
Hymn,Hymn,찬가
Ward Pulse,Ward Pulse,수호 파동
Thorn Guard,Thorn Guard,가시 태세
Frostglass,Frostglass,서리유리
Grave Pearl,Grave Pearl,묘주
Sanctum Tear,Sanctum Tear,성소의 눈물
Root Amber,Root Amber,뿌리 호박
Ash Veil,Ash Veil,잿빛 베일
 of Frost, of Frost,의 서리
 of the Grave, of the Grave,의 묘
 of Sanctum, of Sanctum,의 성소
 Rooted, Rooted, 뿌리
 of Ash, of Ash,의 재
Tide Crash of Frost,Tide Crash of Frost,밀물 강타의 서리
Flurry of Storm,Flurry of Storm,질주의 폭풍
Hymn of Sanctum,Hymn of Sanctum,찬가의 성소
Ward Pulse of Sanctum,Ward Pulse of Sanctum,수호 파동의 성소
Thorn Guard Rooted,Thorn Guard Rooted,가시 태세 뿌리
Rune of Countering,Rune of Countering,반격의 룬
Rune of Piercing,Rune of Piercing,관통의 룬
Rune of Eruption,Rune of Eruption,분출의 룬

Counter Stance,Counter Stance,반격 태세
Piercing Strike,Piercing Strike,관통 일격
Erupt Slash,Erupt Slash,분출 베기
Bloodstone,Bloodstone,혈석
Wind Shard,Wind Shard,바람 파편
Ember Core,Ember Core,불씨 핵
Chain Spark,Chain Spark,연쇄 불꽃
 of Blood, of Blood,의 피
 of Storm, of Storm,의 폭풍
 of Flame, of Flame,의 불꽃
 Chained, Chained, 연쇄
Counter Stance of Blood,Counter Stance of Blood,반격 태세의 피
Piercing Strike of Storm,Piercing Strike of Storm,관통 일격의 폭풍
Erupt Slash of Flame,Erupt Slash of Flame,분출 베기의 불꽃
Claymore,Claymore,클레이모어
Blood-Rusted Sword,Blood-Rusted Sword,피녹슨 검
Iron Helm,Iron Helm,철 투구
Chain Chest,Chain Chest,사슬 갑옷
Health Potion,Health Potion,체력 물약
Dried Fish,Dried Fish,말린 생선
Iron Ore,Iron Ore,철광석
Fishing Rod,Fishing Rod,낚싯대
Night Dagger,Night Dagger,밤의 단검
Two Handed Great Sword,Two Handed Great Sword,양손 대검
Dagger,Dagger,단검
Consumable,Consumable,소모품
Food,Food,음식
Material,Material,재료
+5% Vampirism,+5% Vampirism,+5% 흡혈
+8% Attack Speed,+8% Attack Speed,+8% 공격 속도
+10% Critical Chance,+10% Critical Chance,+10% 치명타 확률
Juggle Strike,Juggle Strike,저글 일격
A heavy blade forged for warriors who favor raw power.,A heavy blade forged for warriors who favor raw power.,원시적인 힘을 선호하는 전사를 위해 벼려진 무거운 검.
Choose a reward,Choose a reward,보상을 선택하세요
Select one offer,Select one offer,후보 중 하나를 고르세요
Take,Take,획득
No rewards,No rewards,보상 없음
Armor,Armor,방어구
Suffix,Suffix,접미사
LOOT_TYPE_WEAPON,Reward: Weapon,보상: 무기
LOOT_TYPE_ARMOR,Reward: Armor,보상: 방어구
LOOT_TYPE_RUNE,Reward: Rune,보상: 룬
LOOT_TYPE_GEM,Reward: Gem,보상: 보석
LOOT_TYPE_NONE,Reward,보상
RUNE_BLURB_ACTIVE,"Slot this Rune into a weapon to gain the %s Rune Attack.","주무기에 이 룬을 장착하면 %s 룬 공격을 얻습니다."
RUNE_BLURB_PASSIVE,"Slot this Rune into off-hand or armor to gain the %s effect.","보조무기나 갑옷에 이 룬을 장착하면 %s 효과를 얻습니다."
GEM_BLURB,Can be used to infuse weapons and armor.,무기와 방어구에 주입할 수 있습니다.
GEM_BLURB_SUFFIX,"Can be used to infuse weapons and armor. Skills gain: %s","무기와 방어구에 주입할 수 있습니다. 기술 접미사: %s"
Cost,Cost,비용
Attack,Attack,공격
Effect,Effect,효과
Fits,Fits,장착 부위
Skill kind,Skill kind,기술 종류
Applies To,Applies To,적용 대상
Slot effects,Slot effects,슬롯 효과
GEM_INFUSE,Infusion,주입 효과
COMMON,Common,일반
UNCOMMON,Uncommon,고급
RARE,Rare,희귀
EPIC,Epic,영웅
LEGENDARY,Legendary,전설
SKILL_KIND_STRIKE,Melee,근접
SKILL_KIND_COMBO,Combo,연계
SKILL_KIND_AOE,Area,범위
SKILL_KIND_HEAL,Heal,치유
SKILL_KIND_WARD,Ward,수호
SKILL_KIND_THORNS,Thorns,가시
SKILL_KIND_BUFF,Buff,강화
SKILL_KIND_CONVERT,Convert,변환
SKILL_KIND_DEBUFF,Debuff,약화
SKILL_KIND_COUNTER,Counter,반격
SKILL_KIND_STRIKE_DESC,A direct strike against your current target.,현재 대상에게 가하는 직접 일격입니다.
SKILL_KIND_COMBO_DESC,A rapid chain of hits in succession.,연속으로 이어지는 빠른 타격입니다.
SKILL_KIND_AOE_DESC,Hits multiple foes around the target.,대상 주변의 여러 적에게 피해를 줍니다.
SKILL_KIND_HEAL_DESC,Restores your Life.,자신의 생명력을 회복합니다.
SKILL_KIND_WARD_DESC,Raises a defensive ward.,방어용 수호막을 펼칩니다.
SKILL_KIND_THORNS_DESC,Damages attackers who strike you.,자신을 공격한 적에게 피해를 되돌려 줍니다.
SKILL_KIND_BUFF_DESC,Temporarily strengthens your attacks.,잠시 동안 공격력을 강화합니다.
SKILL_KIND_CONVERT_DESC,Converts resources into combat power.,자원을 전투 위력으로 바꿉니다.
SKILL_KIND_DEBUFF_DESC,Weakens the target.,대상의 능력을 약화시킵니다.
SKILL_KIND_COUNTER_DESC,Answers incoming attacks with a riposte.,들어오는 공격에 반격으로 응수합니다.
GEM_TYPE_ELEMENT,Element,원소
GEM_TYPE_CONDITION,Condition,상태
GEM_TYPE_MEDIATOR,Mediator,매개
GEM_TYPE_EXPLORE,Explore,탐험
SLOT_WEAPONS,Weapons,무기
SLOT_OFF_HANDS,Off-Hands,보조
SLOT_HELMETS,Helmets,투구
SLOT_BODY,Body,갑옷
SLOT_PANTS,Pants,다리
SLOT_RINGS,Rings,반지
SLOT_TOOLS,Tools,도구
EQUIP_SLOT_MAIN_HAND,Main Hand,주 무기
EQUIP_SLOT_OFF_HAND,Off-Hand,보조 무기
EQUIP_SLOT_LEGS,Pants,바지
TAG_WEAPON,Weapons,무기
TAG_MELEE,Melee,근접
TAG_SWORD,Sword,검
TAG_STAFF,Staff,지팡이
TAG_MAGIC,Magic,마법
TAG_POLEARM,Polearm,장병기
TAG_DAGGER,Dagger,단검
TAG_RANGED,Ranged,원거리
RESO_BLOOD,Blood,피
RESO_COUNTER,Counter,반격
RESO_WIND,Wind,바람
RESO_PIERCE,Pierce,관통
RESO_FIRE,Fire,불
RESO_ERUPT,Erupt,분출
RESO_CHAIN,Chain,연쇄
RESO_FROST,Frost,서리
RESO_TIDE,Tide,파도
RESO_PLAGUE,Plague,역병
RESO_GRAVE,Grave,무덤
RESO_HOLY,Holy,신성
RESO_WARD,Ward,수호
RESO_HYMN,Hymn,성가
RESO_EARTH,Earth,대지
RESO_THORN,Thorn,가시
RESO_ASH,Ash,재
RESO_FLURRY,Flurry,질주
